tree_dbh,spc_latin,latitude,longitude
8,Pyrus calleryana,40.6012716,-74.07812149
25,Platanus x acerifolia,40.68520179,-73.93932597
24,Platanus x acerifolia,40.62922707,-74.00842639
18,Platanus x acerifolia,40.86941047,-73.82465275
10,Pyrus calleryana,40.64333132,-73.98050783
26,Platanus x acerifolia,40.63603231,-73.88826139
11,Quercus palustris,40.65463272,-73.94362225
11,Pyrus calleryana,40.51625144,-74.21199548
11,Platanus x acerifolia,40.55393144,-74.19287596
25,Platanus x acerifolia,40.74615631,-73.79061362
24,Quercus palustris,40.69046019,-73.79619458
3,Quercus palustris,40.77612321,-73.82431138
12,Platanus x acerifolia,40.85538865,-73.88662843
2,Platanus x acerifolia,40.60289495,-74.12830586
16,Quercus palustris,40.86201412,-73.90544677
17,Quercus palustris,40.64184965,-73.99125315
11,Acer platanoides,40.73194592,-73.80858797
10,Pyrus calleryana,40.90471827,-73.8981457
11,Acer platanoides,40.71644879,-73.85701642
20,Acer platanoides,40.75554557,-73.7843022
23,Platanus x acerifolia,40.61110067,-74.0241018
20,Platanus x acerifolia,40.55332195,-74.15806084
25,Platanus x acerifolia,40.69356075,-73.73694473
17,Platanus x acerifolia,40.62575329,-73.82692264
23,Platanus x acerifolia,40.57479869,-74.1084493
27,Platanus x acerifolia,40.69200014,-73.73968454
25,Quercus palustris,40.76790082,-73.90223767
23,Platanus x acerifolia,40.78264804,-73.82246231
26,Platanus x acerifolia,40.74927714,-73.91628659
18,Acer platanoides,40.73903313,-73.86488652
4,Quercus palustris,40.87216518,-73.83345828
30,Platanus x acerifolia,40.82761598,-73.8155274
7,Pyrus calleryana,40.65571352,-73.83937356
12,Acer platanoides,40.73855988,-73.70884292
5,Pyrus calleryana,40.72395526,-73.73035148
18,Platanus x acerifolia,40.61293187,-73.92421825
18,Quercus palustris,40.90255839,-73.84828284
25,Platanus x acerifolia,40.74067041,-73.82165122
17,Platanus x acerifolia,40.775499,-73.75227645
12,Pyrus calleryana,40.72385599,-73.88185656
39,Platanus x acerifolia,40.60312799,-73.94537727
8,Pyrus calleryana,40.53828198,-74.18340459
40,Quercus palustris,40.75925086,-73.78443202
32,Platanus x acerifolia,40.73538976,-73.77497914
15,Pyrus calleryana,40.53558078,-74.19705124
8,Acer platanoides,40.74125034,-73.85175798
2,Quercus palustris,40.79910591,-73.95230819
22,Quercus palustris,40.76987322,-73.73629429
13,Pyrus calleryana,40.51458009,-74.2062694
3,Quercus palustris,40.73465937,-74.00961042
16,Acer platanoides,40.90482753,-73.89953165
33,Quercus palustris,40.64298111,-73.9667147
12,Pyrus calleryana,40.81096544,-73.9411707
42,Platanus x acerifolia,40.75869999,-73.80980162
3,Pyrus calleryana,40.78078034,-73.77305402
16,Platanus x acerifolia,40.73388618,-73.97747412
33,Platanus x acerifolia,40.68826623,-73.82525592
14,Platanus x acerifolia,40.80457513,-73.96641785
18,Platanus x acerifolia,40.89691596,-73.84051131
23,Quercus palustris,40.73137821,-73.7599398
9,Acer platanoides,40.74247993,-73.8512187
26,Platanus x acerifolia,40.64529772,-73.9440926
32,Platanus x acerifolia,40.72466934,-73.94238732
17,Quercus palustris,40.54597255,-74.19864363
8,Platanus x acerifolia,40.60767567,-73.98407496
12,Pyrus calleryana,40.59155887,-74.10920245
29,Platanus x acerifolia,40.73706282,-73.92092563
16,Acer platanoides,40.74323843,-73.76157697
18,Platanus x acerifolia,40.76554832,-73.93712019
19,Quercus palustris,40.86783675,-73.86124803
12,Pyrus calleryana,40.51549026,-74.23775109
34,Quercus palustris,40.73338998,-73.84564649
37,Quercus palustris,40.68313616,-73.79773976
3,Platanus x acerifolia,40.63812853,-73.89312209
4,Pyrus calleryana,40.5895945,-73.81529253
21,Platanus x acerifolia,40.61825155,-74.15985281
6,Pyrus calleryana,40.62691183,-74.15299861
8,Acer platanoides,40.52489671,-74.22083178
20,Platanus x acerifolia,40.69500289,-73.99249612
5,Pyrus calleryana,40.78532745,-73.82076555
13,Platanus x acerifolia,40.75110013,-73.75719952
4,Pyrus calleryana,40.73894888,-73.92655796
13,Quercus palustris,40.75554106,-73.83100172
23,Acer platanoides,40.75154951,-73.71472258
12,Quercus palustris,40.55359344,-74.20241307
33,Platanus x acerifolia,40.71153037,-73.81447659
25,Platanus x acerifolia,40.68495462,-73.8810424
32,Platanus x acerifolia,40.7175273,-73.85407363
15,Acer platanoides,40.74404474,-73.70380844
15,Pyrus calleryana,40.60802236,-73.92211901
21,Acer platanoides,40.77515239,-73.75386943
22,Acer platanoides,40.8495236,-73.788017
15,Quercus palustris,40.74621839,-74.00288856
25,Acer platanoides,40.76081094,-73.89586139
38,Platanus x acerifolia,40.70892955,-73.84741521
16,Acer platanoides,40.66909069,-73.91343517
30,Platanus x acerifolia,40.64513722,-74.10717881
4,Platanus x acerifolia,40.72513037,-74.00654741
19,Platanus x acerifolia,40.62994465,-73.98361171
17,Acer platanoides,40.69223475,-73.74344693
19,Platanus x acerifolia,40.60673253,-73.91560434
15,Acer platanoides,40.72267809,-73.74451576
27,Platanus x acerifolia,40.57050482,-74.13892546
18,Platanus x acerifolia,40.68212117,-73.99609149
8,Pyrus calleryana,40.78695318,-73.97169366
24,Acer platanoides,40.66785554,-73.73607914
8,Pyrus calleryana,40.51017171,-74.24957547
16,Platanus x acerifolia,40.82360119,-73.84573912
9,Pyrus calleryana,40.57571365,-73.98250122
23,Platanus x acerifolia,40.60727627,-73.91044754
12,Pyrus calleryana,40.56341279,-74.13930841
20,Platanus x acerifolia,40.59539083,-73.9332715
7,Platanus x acerifolia,40.71887022,-73.95884202
14,Acer platanoides,40.74916514,-73.76353349
35,Platanus x acerifolia,40.77285748,-73.80477203
8,Pyrus calleryana,40.72899112,-74.00097294
18,Platanus x acerifolia,40.77980794,-73.83964878
36,Quercus palustris,40.70573825,-73.79615962
22,Quercus palustris,40.81916128,-73.89500702
28,Acer platanoides,40.60061802,-73.97732671
23,Quercus palustris,40.73510677,-73.80669219
4,Pyrus calleryana,40.74363713,-73.79262999
21,Platanus x acerifolia,40.7699502,-73.82702397
16,Acer platanoides,40.667303510000004,-73.97555371
15,Platanus x acerifolia,40.73407547,-73.71800341
16,Acer platanoides,40.67948529,-73.8891784
11,Acer platanoides,40.69153943,-73.8325279
10,Pyrus calleryana,40.73570488,-73.71958461
33,Platanus x acerifolia,40.63932145,-74.10942601
1,Quercus palustris,40.7640891,-73.98442661
13,Pyrus calleryana,40.77045889,-73.89260588
3,Quercus palustris,40.82554941,-73.9411304
26,Platanus x acerifolia,40.70087544,-73.8188214
25,Quercus palustris,40.78988287,-73.80890956
12,Platanus x acerifolia,40.87594363,-73.83253141
21,Platanus x acerifolia,40.82239919,-73.81801398
6,Pyrus calleryana,40.60607726,-74.13892409
24,Acer platanoides,40.73446594,-73.79671148
2,Platanus x acerifolia,40.66633636,-73.89348619
7,Pyrus calleryana,40.62981177,-74.12257351
11,Pyrus calleryana,40.54349851,-74.17328038
31,Platanus x acerifolia,40.63118274,-74.00076142
11,Platanus x acerifolia,40.63909678,-74.01256347
3,Platanus x acerifolia,40.75459545,-73.72123374
17,Acer platanoides,40.69996848,-73.90065229
18,Platanus x acerifolia,40.57661024,-73.94697801
4,Pyrus calleryana,40.75195097,-73.85930378
4,Platanus x acerifolia,40.72556437,-73.80602231
12,Pyrus calleryana,40.67864034,-74.01074498
3,Pyrus calleryana,40.70549261,-73.90621048
17,Platanus x acerifolia,40.83767112,-73.87153502
22,Platanus x acerifolia,40.62436367,-73.91505606
24,Platanus x acerifolia,40.64633661,-73.89832042
8,Platanus x acerifolia,40.82120607,-73.95550418
17,Platanus x acerifolia,40.57711502,-74.10619928
11,Platanus x acerifolia,40.89683511,-73.85418678
20,Platanus x acerifolia,40.78791097,-73.78390625
5,Acer platanoides,40.54060731,-74.16527392
4,Pyrus calleryana,40.8234029,-73.93913784
11,Pyrus calleryana,40.77874259,-73.79962091
6,Acer platanoides,40.57761306,-73.98285965
8,Quercus palustris,40.6823654,-73.9636475
3,Quercus palustris,40.63468569,-73.96493968
30,Quercus palustris,40.73412242,-73.8083955
14,Quercus palustris,40.79669778,-73.93093581
24,Platanus x acerifolia,40.72492965,-73.81586768
16,Platanus x acerifolia,40.7175642,-73.94125998
24,Platanus x acerifolia,40.7627749,-73.77969777
17,Platanus x acerifolia,40.67558006,-73.9764244
14,Pyrus calleryana,40.84398589,-73.88334402
12,Platanus x acerifolia,40.67052279,-73.86981269
22,Platanus x acerifolia,40.72135582,-73.81623529
6,Pyrus calleryana,40.70303968,-73.9322652
8,Acer platanoides,40.75288533,-73.88766258
10,Acer platanoides,40.77506792,-73.89956337
8,Acer platanoides,40.69312545,-73.91372596
6,Pyrus calleryana,40.55556826,-74.17464223
28,Quercus palustris,40.7828755,-73.81559528
7,Quercus palustris,40.81466596,-73.90619425
20,Pyrus calleryana,40.65906906,-73.90794588
22,Platanus x acerifolia,40.61431246,-74.02279017
25,Platanus x acerifolia,40.59984206,-73.96749574
18,Platanus x acerifolia,40.65859136,-73.87980335
24,Platanus x acerifolia,40.61650161,-73.94146277
22,Acer platanoides,40.63846318,-73.90646361
34,Quercus palustris,40.70314527,-73.75517645
15,Acer platanoides,40.71328965,-73.90021804
8,Pyrus calleryana,40.77481891,-73.98851468
2,Quercus palustris,40.73427193,-73.86629315
13,Quercus palustris,40.62373278,-73.95615141
25,Platanus x acerifolia,40.63671236,-74.02080704
11,Acer platanoides,40.66734939,-73.95498784
14,Platanus x acerifolia,40.59289565,-74.15808453
11,Pyrus calleryana,40.53703434,-74.18538378
